Dimensión,Práctica
Diseño y procesamiento,Ignorar ciertos aspectos de los requerimientos de las personas participantes.
Diseño y procesamiento,Pasar por alto el uso de datos cuestionables o de interpretaciones cuestionables que otros hacen.
Diseño y procesamiento,Cambiar partes de un estudio como respuesta a la presión de una fuente de financiación
Diseño y procesamiento,Eliminar observaciones de los análisis basados en la intuición de que eran inexactos.
Diseño y procesamiento,"Redondear un valor p (por ejemplo, reportar que un p-value de 0,054 es menor a 0,05)"
Diseño y procesamiento,"Eliminación, adición o alteración de datos después de pruebas de hipótesis."
Diseño y procesamiento,Supresión selectiva o adición de variables.
Diseño y procesamiento,Invertir la dirección o reformular hipótesis para respaldar los datos
"Redacción, reporte y publicación",Ampliar de manera innecesaria la bibliografía de un estudio.
"Redacción, reporte y publicación",Tergiversar los logros de la investigación.
"Redacción, reporte y publicación",Exagerar la importancia y la relevancia práctica de los resultados.
"Redacción, reporte y publicación",Retener detalles de la metodología de investigación (e.g. no reportar todas las variables dependientes de un estudio)
"Redacción, reporte y publicación",Retener resultados de la investigación (e.g. no presentar datos que contradicen una propia investigación previa).
"Redacción, reporte y publicación",Establecer publicaciones o brindar apoyo a publicaciones que no cumplen el proceso de control de calidad de la investigación
"Redacción, reporte y publicación",Publicar los mismos datos o resultados en dos o más publicaciones.
"Redacción, reporte y publicación","Selectivamente reportar estudios que ""funcionaron""."
"Redacción, reporte y publicación",Reportar hallazgos inesperados como previstos desde el principio.
"Redacción, reporte y publicación",Afirmar que los resultados no se ven afectados por variables demográficas cuando uno no está realmente seguro (o sabe que lo hacen).
Citación y autoría,Manipular la autoría o denigrar el papel de otros investigadores en las publicaciones.
Citación y autoría,Asignar inapropiadamente los crédios de autoría.
Citación y autoría,"Volver a publicar partes sustanciales de publicaciones propias anteriores, incluidas las traducciones, sin citar debidamente el original (""autoplagio"")."
Citación y autoría,"Citar de forma selectiva para mejorar los propios resultados o para complacer a los editores, los revisores o los colegas."
Citación y autoría,Usar ideas de otros sin obtener permiso o dar crédito
Citación y autoría,Uso no autorizado de información confidencial en relación con la propia investigación.
Relaciones con otros,Permitir que los patrocinadores pongan en peligro la independencia en el proceso de investigación con el fin de introducir sesgos.
Relaciones con otros,Acusar a un investigador de conducta indebida u otras infracciones de forma maliciosa.
Relaciones con otros,Retrasar u obstaculizar inadecuadamente el trabajo de otros investigadores.
Relaciones con otros,Emplear la experiencia profesional propia para alentar a que se incumpla la integridad de la investigación.
Relaciones con otros,Ignorar supuestos incumplimientos de la integridad de la investigación cometidos por terceros o encubrir reacciones inadecuadas a conductas indebidas.
Relaciones con otros,No divulgar adecuadamente la participación en empresas cuyos productos se basan en la investigación de uno.
Relaciones con otros,"Relaciones con estudiantes, sujetos de investigación o clientes que pueden ser interpretadas como cuestionables."
,
