Práctica,Psicología,Psicología,Psicología,Ecología,Evolución,Educación,Comunicación
,John et al. (2012),Agnoli et al. (2017),Rabelo et al. (2020),Fraser et al. (2018),Fraser et al. (2018),Makel et al. (2021),Bakker et al. (2020)
Omitir estudios o variables ni significativas,46 (485),40 (217),55 (232),*,*,62 (783),60
Subreportar resultados,63 (486),48 (219),22 (232),64,64,67 (871),64
Subreportar condiciones,28 (484),16 (219),35 (232),*,*,*,*
Muestreo selectivo,56 (490),53 (221),22 (232),37,51,29 (806),23
Excluir datos selectivamente,38 (484),40 (219),20 (232),24,24,25 (806),34
Excluir covariables selectivamente,*,*,*,*,*,42 (773),46
Cambiar análisis selectivamente,*,*,*,*,*,50 (811),45
HARK,27 (489),37 (219),9 (232),49,54,46 (880),46
Redondear valores p,22 (499),22 (221),18 (232),27,18,29 (806),24
Mal orientar respecto a los efectos de sociodemográficos,3 (499),3 (223),4 (232),*,*,*,*
Esconder problemas,*,*,*,*,*,24 (889),*
Esconder imputaciones,1 (495),2 (220),1 (232),5,2,10 (898),9
